latitude,longitude,rh_mean,temp_mean,ghi_mean,rh_swing_max,temp_swing_mean
-15.0,-105.0,76.49748858447488,23.0765296803653,254.55513698630136,27.0,1.3432876712328765
-15.0,-95.0,75.92728310502284,21.966769406392693,245.96107305936073,30.0,1.2586301369863013
-15.0,-85.0,74.81906392694064,21.102899543379,232.08219178082192,33.0,1.1369863013698631
-15.0,-75.0,70.06381278538812,24.07898401826484,264.81986301369864,78.0,13.035342465753423
-15.0,-65.0,77.54212328767123,26.21301369863014,205.56495433789954,61.0,8.023287671232877
-15.0,-55.0,66.66244292237442,26.97648401826484,233.1148401826484,66.0,9.995616438356164
-15.0,-45.0,55.92191780821918,26.712762557077625,251.0025114155251,72.0,11.864109589041094
-15.0,-35.0,73.87408675799087,26.14030821917808,261.95079908675797,34.0,1.4715068493150685
-15.0,-25.0,75.13961187214612,24.668561643835613,264.4944063926941,28.0,1.3649315068493153
-15.0,-15.0,75.50445205479453,23.198150684931505,257.5842465753425,31.0,1.2756164383561643
-15.0,-5.0,75.13778538812785,21.971849315068496,235.7203196347032,32.0,1.1306849315068495
-15.0,5.0,76.2667808219178,21.116666666666667,230.1777397260274,25.0,0.9408219178082191
-15.0,15.0,50.03184931506849,23.54384703196347,256.6190639269406,84.0,14.234246575342466
-15.0,25.0,52.022602739726025,22.60970319634703,250.69737442922374,67.0,12.629589041095889
-15.0,35.0,64.57260273972602,21.302808219178083,238.42876712328768,70.0,10.352602739726027
-15.0,45.0,75.19920091324201,26.904577625570777,260.87397260273974,28.0,1.9416438356164385
-15.0,55.0,76.1898401826484,26.255513698630136,258.58059360730596,30.0,1.5997260273972604
-15.0,65.0,76.59509132420091,25.993287671232878,254.8236301369863,28.0,1.4657534246575339
-15.0,75.0,76.29155251141553,25.693607305936073,255.41906392694065,30.0,1.4397260273972603
-15.0,85.0,75.75627853881278,25.409908675799084,253.73173515981736,29.0,1.417808219178082
-15.0,95.0,75.85251141552511,25.270776255707762,250.03607305936072,27.0,1.3693150684931505
-15.0,105.0,74.44554794520548,25.789246575342464,249.80901826484018,31.0,1.4019178082191783
-15.0,115.0,74.6912100456621,26.989634703196348,267.52317351598174,27.0,1.321917808219178
-15.0,125.0,70.07979452054795,26.418070776255707,251.62819634703197,83.0,8.2386301369863
-15.0,135.0,63.959931506849315,25.996586757990865,250.8192922374429,90.0,12.289589041095892
-15.0,145.0,77.92762557077626,21.176141552511414,219.42340182648402,66.0,6.761643835616439
-15.0,155.0,75.71415525114155,26.39791095890411,236.42123287671234,28.0,1.4975342465753425
-15.0,165.0,77.31084474885844,26.969794520547946,232.3623287671233,28.0,1.5556164383561644
-15.0,175.0,78.27979452054795,27.123561643835615,226.94052511415526,28.0,1.7298630136986297
-5.0,-175.0,75.37671232876713,28.264908675799088,261.235502283105,25.0,1.9224657534246574
-5.0,-165.0,75.62066210045663,27.98450913242009,267.6571917808219,29.0,1.67013698630137
-5.0,-155.0,75.56712328767124,27.705125570776254,274.20171232876714,27.0,1.4712328767123288
-5.0,-145.0,76.1310502283105,27.295399543379,273.84212328767126,23.0,1.345753424657534
-5.0,-135.0,76.7708904109589,26.792077625570776,271.85753424657537,23.0,1.3397260273972602
-5.0,-125.0,77.2667808219178,26.240479452054796,268.8448630136986,21.0,1.2726027397260273
-5.0,-115.0,78.03584474885845,25.748127853881275,265.67625570776255,22.0,1.2112328767123288
-5.0,-105.0,79.29520547945205,25.26220319634703,259.4151826484018,22.0,1.2194520547945207
-5.0,-95.0,78.84634703196348,25.1324200913242,250.06472602739726,25.0,1.1145205479452056
-5.0,-85.0,79.30331050228311,24.76837899543379,241.60856164383563,21.0,1.1405479452054794
